_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
78204,2025-12-31T23:45:00,2025-12-31T22:45:00,SE1,15.26,EUR-MWh
190762,2025-12-31T23:45:00,2025-12-31T22:45:00,SE3,30.04,EUR-MWh
243514,2025-12-31T23:45:00,2025-12-31T22:45:00,SE2,20.22,EUR-MWh
767620,2025-12-31T23:45:00,2025-12-31T22:45:00,SE4,33.7,EUR-MWh
166666,2025-12-31T23:30:00,2025-12-31T22:30:00,SE3,33.0,EUR-MWh
174973,2025-12-31T23:30:00,2025-12-31T22:30:00,SE4,36.6,EUR-MWh
378483,2025-12-31T23:30:00,2025-12-31T22:30:00,SE1,18.86,EUR-MWh
544400,2025-12-31T23:30:00,2025-12-31T22:30:00,SE2,23.28,EUR-MWh
1209418,2025-12-31T23:15:00,2025-12-31T22:15:00,SE3,36.27,EUR-MWh
50752,2025-12-31T23:15:00,2025-12-31T22:15:00,SE4,39.63,EUR-MWh
544421,2025-12-31T23:15:00,2025-12-31T22:15:00,SE1,23.74,EUR-MWh
1127880,2025-12-31T23:15:00,2025-12-31T22:15:00,SE2,27.18,EUR-MWh
304581,2025-12-31T23:00:00,2025-12-31T22:00:00,SE4,41.19,EUR-MWh
558095,2025-12-31T23:00:00,2025-12-31T22:00:00,SE1,24.97,EUR-MWh
1087411,2025-12-31T23:00:00,2025-12-31T22:00:00,SE3,37.77,EUR-MWh
1182157,2025-12-31T23:00:00,2025-12-31T22:00:00,SE2,28.49,EUR-MWh
54566,2025-12-31T22:45:00,2025-12-31T21:45:00,SE2,22.36,EUR-MWh
220084,2025-12-31T22:45:00,2025-12-31T21:45:00,SE1,16.0,EUR-MWh
609924,2025-12-31T22:45:00,2025-12-31T21:45:00,SE4,64.56,EUR-MWh
644958,2025-12-31T22:45:00,2025-12-31T21:45:00,SE3,62.41,EUR-MWh
128005,2025-12-31T22:30:00,2025-12-31T21:30:00,SE3,67.55,EUR-MWh
317006,2025-12-31T22:30:00,2025-12-31T21:30:00,SE2,22.25,EUR-MWh
428802,2025-12-31T22:30:00,2025-12-31T21:30:00,SE4,69.65,EUR-MWh
1191182,2025-12-31T22:30:00,2025-12-31T21:30:00,SE1,15.29,EUR-MWh
33538,2025-12-31T22:15:00,2025-12-31T21:15:00,SE1,13.38,EUR-MWh
363005,2025-12-31T22:15:00,2025-12-31T21:15:00,SE4,75.15,EUR-MWh
765682,2025-12-31T22:15:00,2025-12-31T21:15:00,SE2,21.05,EUR-MWh
1192731,2025-12-31T22:15:00,2025-12-31T21:15:00,SE3,73.24,EUR-MWh
267783,2025-12-31T22:00:00,2025-12-31T21:00:00,SE3,83.13,EUR-MWh
670246,2025-12-31T22:00:00,2025-12-31T21:00:00,SE2,17.76,EUR-MWh
846356,2025-12-31T22:00:00,2025-12-31T21:00:00,SE1,8.71,EUR-MWh
985886,2025-12-31T22:00:00,2025-12-31T21:00:00,SE4,84.68,EUR-MWh
104950,2025-12-31T21:45:00,2025-12-31T20:45:00,SE1,14.83,EUR-MWh
107370,2025-12-31T21:45:00,2025-12-31T20:45:00,SE4,70.82,EUR-MWh
1019058,2025-12-31T21:45:00,2025-12-31T20:45:00,SE2,21.89,EUR-MWh
1023153,2025-12-31T21:45:00,2025-12-31T20:45:00,SE3,69.22,EUR-MWh
44661,2025-12-31T21:30:00,2025-12-31T20:30:00,SE3,77.2,EUR-MWh
81377,2025-12-31T21:30:00,2025-12-31T20:30:00,SE4,78.41,EUR-MWh
508518,2025-12-31T21:30:00,2025-12-31T20:30:00,SE1,11.45,EUR-MWh
509810,2025-12-31T21:30:00,2025-12-31T20:30:00,SE2,19.56,EUR-MWh
381621,2025-12-31T21:15:00,2025-12-31T20:15:00,SE3,84.86,EUR-MWh
832031,2025-12-31T21:15:00,2025-12-31T20:15:00,SE4,85.83,EUR-MWh
1034013,2025-12-31T21:15:00,2025-12-31T20:15:00,SE2,18.15,EUR-MWh
1055391,2025-12-31T21:15:00,2025-12-31T20:15:00,SE1,9.02,EUR-MWh
457303,2025-12-31T21:00:00,2025-12-31T20:00:00,SE1,9.25,EUR-MWh
701848,2025-12-31T21:00:00,2025-12-31T20:00:00,SE2,18.82,EUR-MWh
711962,2025-12-31T21:00:00,2025-12-31T20:00:00,SE4,91.65,EUR-MWh
899831,2025-12-31T21:00:00,2025-12-31T20:00:00,SE3,91.05,EUR-MWh
83546,2025-12-31T20:45:00,2025-12-31T19:45:00,SE4,77.18,EUR-MWh
385502,2025-12-31T20:45:00,2025-12-31T19:45:00,SE1,19.62,EUR-MWh
415195,2025-12-31T20:45:00,2025-12-31T19:45:00,SE2,26.59,EUR-MWh
1076645,2025-12-31T20:45:00,2025-12-31T19:45:00,SE3,76.28,EUR-MWh
414220,2025-12-31T20:30:00,2025-12-31T19:30:00,SE2,31.06,EUR-MWh
642374,2025-12-31T20:30:00,2025-12-31T19:30:00,SE3,85.65,EUR-MWh
793661,2025-12-31T20:30:00,2025-12-31T19:30:00,SE1,22.17,EUR-MWh
1149036,2025-12-31T20:30:00,2025-12-31T19:30:00,SE4,85.82,EUR-MWh
564326,2025-12-31T20:15:00,2025-12-31T19:15:00,SE4,90.15,EUR-MWh
928400,2025-12-31T20:15:00,2025-12-31T19:15:00,SE3,90.37,EUR-MWh
1033658,2025-12-31T20:15:00,2025-12-31T19:15:00,SE2,32.59,EUR-MWh
1062266,2025-12-31T20:15:00,2025-12-31T19:15:00,SE1,22.74,EUR-MWh
84596,2025-12-31T20:00:00,2025-12-31T19:00:00,SE3,99.55,EUR-MWh
681190,2025-12-31T20:00:00,2025-12-31T19:00:00,SE1,18.32,EUR-MWh
927057,2025-12-31T20:00:00,2025-12-31T19:00:00,SE2,28.08,EUR-MWh
1190632,2025-12-31T20:00:00,2025-12-31T19:00:00,SE4,98.61,EUR-MWh
151916,2025-12-31T19:45:00,2025-12-31T18:45:00,SE2,42.55,EUR-MWh
194166,2025-12-31T19:45:00,2025-12-31T18:45:00,SE4,87.86,EUR-MWh
202853,2025-12-31T19:45:00,2025-12-31T18:45:00,SE3,87.35,EUR-MWh
1073230,2025-12-31T19:45:00,2025-12-31T18:45:00,SE1,40.04,EUR-MWh
212636,2025-12-31T19:30:00,2025-12-31T18:30:00,SE2,35.39,EUR-MWh
374655,2025-12-31T19:30:00,2025-12-31T18:30:00,SE1,34.47,EUR-MWh
747118,2025-12-31T19:30:00,2025-12-31T18:30:00,SE3,96.08,EUR-MWh
1140030,2025-12-31T19:30:00,2025-12-31T18:30:00,SE4,95.76,EUR-MWh
83300,2025-12-31T19:15:00,2025-12-31T18:15:00,SE2,40.59,EUR-MWh
361999,2025-12-31T19:15:00,2025-12-31T18:15:00,SE3,92.99,EUR-MWh
640017,2025-12-31T19:15:00,2025-12-31T18:15:00,SE4,92.65,EUR-MWh
1017393,2025-12-31T19:15:00,2025-12-31T18:15:00,SE1,40.23,EUR-MWh
566903,2025-12-31T19:00:00,2025-12-31T18:00:00,SE4,99.43,EUR-MWh
582686,2025-12-31T19:00:00,2025-12-31T18:00:00,SE3,100.58,EUR-MWh
671717,2025-12-31T19:00:00,2025-12-31T18:00:00,SE2,34.73,EUR-MWh
743925,2025-12-31T19:00:00,2025-12-31T18:00:00,SE1,35.66,EUR-MWh
178692,2025-12-31T18:45:00,2025-12-31T17:45:00,SE4,99.81,EUR-MWh
409495,2025-12-31T18:45:00,2025-12-31T17:45:00,SE3,99.45,EUR-MWh
591999,2025-12-31T18:45:00,2025-12-31T17:45:00,SE2,46.65,EUR-MWh
627212,2025-12-31T18:45:00,2025-12-31T17:45:00,SE1,45.31,EUR-MWh
273340,2025-12-31T18:30:00,2025-12-31T17:30:00,SE4,106.71,EUR-MWh
472405,2025-12-31T18:30:00,2025-12-31T17:30:00,SE1,42.76,EUR-MWh
550634,2025-12-31T18:30:00,2025-12-31T17:30:00,SE2,47.46,EUR-MWh
752336,2025-12-31T18:30:00,2025-12-31T17:30:00,SE3,106.45,EUR-MWh
83972,2025-12-31T18:15:00,2025-12-31T17:15:00,SE4,114.5,EUR-MWh
271365,2025-12-31T18:15:00,2025-12-31T17:15:00,SE1,49.48,EUR-MWh
889856,2025-12-31T18:15:00,2025-12-31T17:15:00,SE2,56.95,EUR-MWh
1120157,2025-12-31T18:15:00,2025-12-31T17:15:00,SE3,114.0,EUR-MWh
120375,2025-12-31T18:00:00,2025-12-31T17:00:00,SE4,111.45,EUR-MWh
568740,2025-12-31T18:00:00,2025-12-31T17:00:00,SE2,62.92,EUR-MWh
958025,2025-12-31T18:00:00,2025-12-31T17:00:00,SE1,56.56,EUR-MWh
1080464,2025-12-31T18:00:00,2025-12-31T17:00:00,SE3,110.9,EUR-MWh
424037,2025-12-31T17:45:00,2025-12-31T16:45:00,SE1,44.64,EUR-MWh
837156,2025-12-31T17:45:00,2025-12-31T16:45:00,SE3,120.12,EUR-MWh
1175982,2025-12-31T17:45:00,2025-12-31T16:45:00,SE2,53.33,EUR-MWh
1187796,2025-12-31T17:45:00,2025-12-31T16:45:00,SE4,121.13,EUR-MWh
1203335,2025-12-31T17:30:00,2025-12-31T16:30:00,SE3,109.71,EUR-MWh
85993,2025-12-31T17:30:00,2025-12-31T16:30:00,SE1,48.91,EUR-MWh
298870,2025-12-31T17:30:00,2025-12-31T16:30:00,SE4,110.54,EUR-MWh
1054357,2025-12-31T17:30:00,2025-12-31T16:30:00,SE2,55.93,EUR-MWh
184294,2025-12-31T17:15:00,2025-12-31T16:15:00,SE4,106.36,EUR-MWh
434036,2025-12-31T17:15:00,2025-12-31T16:15:00,SE2,86.11,EUR-MWh
760634,2025-12-31T17:15:00,2025-12-31T16:15:00,SE1,82.81,EUR-MWh
969132,2025-12-31T17:15:00,2025-12-31T16:15:00,SE3,104.55,EUR-MWh
27629,2025-12-31T17:00:00,2025-12-31T16:00:00,SE4,105.27,EUR-MWh
238114,2025-12-31T17:00:00,2025-12-31T16:00:00,SE3,103.07,EUR-MWh
650420,2025-12-31T17:00:00,2025-12-31T16:00:00,SE1,95.86,EUR-MWh
1021941,2025-12-31T17:00:00,2025-12-31T16:00:00,SE2,97.79,EUR-MWh
84261,2025-12-31T16:45:00,2025-12-31T15:45:00,SE4,107.3,EUR-MWh
496282,2025-12-31T16:45:00,2025-12-31T15:45:00,SE1,97.26,EUR-MWh
790927,2025-12-31T16:45:00,2025-12-31T15:45:00,SE2,99.34,EUR-MWh
943272,2025-12-31T16:45:00,2025-12-31T15:45:00,SE3,104.96,EUR-MWh
234801,2025-12-31T16:30:00,2025-12-31T15:30:00,SE1,94.15,EUR-MWh
246548,2025-12-31T16:30:00,2025-12-31T15:30:00,SE2,96.01,EUR-MWh
844754,2025-12-31T16:30:00,2025-12-31T15:30:00,SE3,101.07,EUR-MWh
1029985,2025-12-31T16:30:00,2025-12-31T15:30:00,SE4,103.18,EUR-MWh
210163,2025-12-31T16:15:00,2025-12-31T15:15:00,SE1,91.75,EUR-MWh
474338,2025-12-31T16:15:00,2025-12-31T15:15:00,SE3,98.22,EUR-MWh
528302,2025-12-31T16:15:00,2025-12-31T15:15:00,SE2,93.5,EUR-MWh
596246,2025-12-31T16:15:00,2025-12-31T15:15:00,SE4,100.18,EUR-MWh
228239,2025-12-31T16:00:00,2025-12-31T15:00:00,SE2,85.03,EUR-MWh
416633,2025-12-31T16:00:00,2025-12-31T15:00:00,SE1,83.66,EUR-MWh
972525,2025-12-31T16:00:00,2025-12-31T15:00:00,SE4,90.23,EUR-MWh
1132071,2025-12-31T16:00:00,2025-12-31T15:00:00,SE3,88.7,EUR-MWh
231750,2025-12-31T15:45:00,2025-12-31T14:45:00,SE2,89.72,EUR-MWh
447697,2025-12-31T15:45:00,2025-12-31T14:45:00,SE4,97.0,EUR-MWh
735689,2025-12-31T15:45:00,2025-12-31T14:45:00,SE1,88.7,EUR-MWh
824355,2025-12-31T15:45:00,2025-12-31T14:45:00,SE3,96.68,EUR-MWh
114197,2025-12-31T15:30:00,2025-12-31T14:30:00,SE4,91.62,EUR-MWh
503912,2025-12-31T15:30:00,2025-12-31T14:30:00,SE2,90.46,EUR-MWh
