term,coef,se,t,p,ci_low,ci_high,model
wind_onshore_gw,-7.1161,0.4064,-17.5113,0.0,-7.9125,-6.3196,SE1
load_gw,4.5615,0.4966,9.1859,0.0,3.5883,5.5348,SE1
solar_gw,-12.3692,1.2191,-10.1459,0.0,-14.7587,-9.9798,SE1
temp_c,-0.4341,0.1719,-2.5249,0.0116,-0.7712,-0.0971,SE1
flow_sum_gw,2.4611,0.7748,3.1764,0.0015,0.9425,3.9797,SE1
wind_onshore_gw,-7.6034,0.4001,-19.0034,0.0,-8.3876,-6.8192,SE2
load_gw,4.5871,0.524,8.7542,0.0,3.5601,5.6141,SE2
solar_gw,-12.3615,1.2261,-10.082,0.0,-14.7646,-9.9584,SE2
temp_c,-0.6226,0.1677,-3.7118,0.0002,-0.9514,-0.2939,SE2
flow_sum_gw,1.7489,0.7812,2.2387,0.0252,0.2178,3.28,SE2
wind_onshore_gw,-8.9037,0.504,-17.6655,0.0,-9.8916,-7.9159,SE3
load_gw,12.9686,0.8828,14.6906,0.0,11.2383,14.6988,SE3
solar_gw,-21.7466,1.8655,-11.6573,0.0,-25.4029,-18.0903,SE3
temp_c,-0.956,0.2845,-3.3608,0.0008,-1.5136,-0.3985,SE3
flow_sum_gw,1.2916,0.9344,1.3823,0.1669,-0.5398,3.1229,SE3
wind_onshore_gw,-8.6748,0.5768,-15.0405,0.0,-9.8052,-7.5444,SE4
load_gw,14.2921,1.0523,13.5821,0.0,12.2297,16.3546,SE4
solar_gw,-35.0716,2.2996,-15.251,0.0,-39.5788,-30.5644,SE4
temp_c,-0.3492,0.4075,-0.8571,0.3914,-1.1478,0.4494,SE4
flow_sum_gw,0.8619,1.0577,0.8149,0.4151,-1.2111,2.9349,SE4
