term,coef,se,t,p,ci_low,ci_high,model
residual_load_gw,6.5543,0.3404,19.2535,0.0,5.8871,7.2215,SE1
temp_c,-0.2613,0.1775,-1.4725,0.1409,-0.6092,0.0865,SE1
flow_sum_gw,2.1944,0.7797,2.8143,0.0049,0.6661,3.7226,SE1
residual_load_gw,6.9259,0.3314,20.8961,0.0,6.2763,7.5755,SE2
temp_c,-0.3558,0.1701,-2.0912,0.0365,-0.6893,-0.0223,SE2
flow_sum_gw,1.5122,0.7836,1.9297,0.0536,-0.0237,3.0481,SE2
residual_load_gw,9.9252,0.4865,20.3995,0.0,8.9716,10.8788,SE3
temp_c,-1.5518,0.2604,-5.9602,0.0,-2.0621,-1.0415,SE3
flow_sum_gw,1.2679,0.9367,1.3536,0.1759,-0.568,3.1039,SE3
residual_load_gw,10.2312,0.5582,18.3296,0.0,9.1372,11.3252,SE4
temp_c,-1.4382,0.3559,-4.0407,0.0001,-2.1358,-0.7406,SE4
flow_sum_gw,0.7327,1.0615,0.6903,0.49,-1.3477,2.8132,SE4
