spec,zone,coef,se,p,ci_low,ci_high,n,r2
"A2 baseline, levels",SE1,-7.116,0.406,0.0,-7.913,-6.32,42743,0.403
"A2 baseline, levels",SE2,-7.603,0.4,0.0,-8.388,-6.819,42730,0.404
"A2 baseline, levels",SE3,-8.904,0.504,0.0,-9.892,-7.916,42949,0.478
"A2 baseline, levels",SE4,-8.675,0.577,0.0,-9.805,-7.544,43056,0.425
A6a first differences,SE1,-6.126,0.307,0.0,-6.728,-5.525,42742,0.107
A6a first differences,SE2,-6.269,0.319,0.0,-6.895,-5.644,42729,0.097
A6a first differences,SE3,-6.424,0.582,0.0,-7.564,-5.284,42948,0.198
A6a first differences,SE4,-6.719,0.666,0.0,-8.025,-5.413,43055,0.201
A6b lag 1,SE1,-0.331,0.041,0.0,-0.413,-0.25,42742,0.959
A6b lags 1 and 24,SE1,-0.397,0.046,0.0,-0.488,-0.306,42719,0.959
A6b lag 1,SE2,-0.36,0.045,0.0,-0.449,-0.271,42729,0.954
A6b lags 1 and 24,SE2,-0.413,0.049,0.0,-0.509,-0.317,42706,0.955
A6b lag 1,SE3,-0.662,0.054,0.0,-0.769,-0.556,42948,0.936
A6b lags 1 and 24,SE3,-0.777,0.063,0.0,-0.9,-0.654,42925,0.937
A6b lag 1,SE4,-0.692,0.067,0.0,-0.822,-0.561,43055,0.922
A6b lags 1 and 24,SE4,-0.761,0.075,0.0,-0.907,-0.614,43032,0.923
A6d 2021-2022,SE1,-9.023,1.152,0.0,-11.282,-6.764,17184,0.442
A6d 2023-2025,SE1,-6.481,0.225,0.0,-6.923,-6.039,25559,0.584
A6d 2021-2022,SE2,-9.902,1.134,0.0,-12.124,-7.679,17130,0.436
A6d 2023-2025,SE2,-6.71,0.222,0.0,-7.145,-6.275,25600,0.582
A6d 2021-2022,SE3,-14.424,1.199,0.0,-16.774,-12.074,17253,0.552
A6d 2023-2025,SE3,-6.426,0.287,0.0,-6.99,-5.863,25696,0.555
A6d 2021-2022,SE4,-14.256,1.38,0.0,-16.961,-11.551,17287,0.496
A6d 2023-2025,SE4,-6.196,0.396,0.0,-6.971,-5.42,25769,0.434
A7 excluding 2022,SE1,-5.904,0.221,0.0,-6.337,-5.47,34151,0.499
A7 excluding 2022,SE2,-6.181,0.219,0.0,-6.61,-5.752,34136,0.498
A7 excluding 2022,SE3,-6.031,0.306,0.0,-6.631,-5.431,34324,0.478
A7 excluding 2022,SE4,-5.89,0.408,0.0,-6.69,-5.09,34409,0.371
